171	Calvin University
172	Cameron University
650	University of Mount Union
888	Schreiner University
1132	Walla Walla University
2938	Union College
4237	Fairmont State University
4409	St. Thomas Aquinas College
4623	Fort Valley State University
13771	CUNY York College
