323	Eastern Washington University
336	Emerson College
453	Ithaca College
598	Metropolitan State University of Denver
796	Rhode Island College
911	Sonoma State University
1035	Troy University
1061	University of Alaska Anchorage
4294	Lasell University
4527	New Jersey City University
