14	Albany State University
144	Caldwell University
254	College of Charleston
651	Mount Vernon Nazarene University
721	Ohio Dominican University
913	South Dakota School of Mines and Technology
1016	Thomas Edison State University
1562	University of Portland
3994	Fayetteville State University
4490	Keuka College
