Name,2010-2014,2015-2017,2018-2020,2021+,2010-2014,2015-2017,2018-2020,2021+
University of Vermont,0,0,0,0,,,,
University of West Georgia,0,1,0,0,,,,
University of Wyoming,0,0,0,0,,,,
Valdosta State University,0,1,0,0,,,,
Vanderbilt University,0,0,0,0,,,,
Virginia Commonwealth University,1,0,0,0,,,,
Walla Walla University,0,0,-1,0,,,,
Wayne State University,0,0,0,0,,,,
West Virginia University,0,1,0,0,,,,
Western Illinois University,0,0,0,0,,,,
Western Kentucky University,0,0,1,0,,,,
Western Michigan University,0,0,0,0,,,,
Western Washington University,0,0,0,0,,,,
Westfield State University,0,0,0,1,,,,
Whitworth University,0,0,1,0,,,,
Wichita State University,0,0,0,0,,,,
Widener University,0,0,0,0,,,,
Xavier University,0,0,0,1,,,,
Xavier University of Louisiana,0,0,0,1,,,,
Youngstown State University,0,0,0,0,,,,
