Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Radford University,0,0,0,1,0.616412903225806,0.65884027777777698,0.702523809523809,0.68428571428571405,0.042,0.044,-0.018,,0.043,-0.018,,,,0.042,0.044,,,,-0.018
Rhode Island College,0,0,0,0,0.64126373626373601,0.73866363636363597,0.74937931034482697,0.67377777777777703,0.097,0.011,-0.076,,0.011,,,,,0.097,0.011,-0.076,,,
San Francisco State University,0,1,-1,1,0.68581420765027301,0.714842857142856,0.71167415730337003,0.73497619047619001,0.029,-0.003,0.023,-0.003,,0.026,,-0.003,,,,,0.029,,0.023
Schreiner University,0,0,0,1,0.71263636363636296,0.69227777777777699,0.61609999999999998,0.84199999999999997,-0.020,-0.076,0.226,,-0.048,0.226,,,,-0.020,-0.076,,,,0.226
Sonoma State University,0,0,0,0,0.66800000000000004,0.679276923076923,0.74357692307692203,0.71191666666666598,0.011,0.064,-0.032,,0.015,,,,,0.011,0.064,-0.032,,,
South Dakota School of Mines and Technology,0,0,0,1,0.72711764705882298,0.692617647058823,0.72113793103448198,0.76216666666666599,-0.034,0.029,0.041,,-0.003,0.041,,,,-0.034,0.029,,,,0.041
St. Thomas Aquinas College,0,-1,0,0,0.69644444444444398,0.73333333333333295,0.51149999999999995,,0.037,-0.222,,0.037,-0.111,,0.037,,,,-0.222,0.000,,,
Temple University,0,1,0,0,0.65352941176470603,0.64640740740740699,0.63160975609756098,0.673172413793103,-0.007,-0.015,0.042,,0.013,-0.007,,,,,-0.015,0.042,-0.007,,
Texas Woman's University,0,0,0,0,0.62254444444444401,0.66047058823529403,0.68607692307692303,0.70718749999999897,0.038,0.026,0.021,,0.028,,,,,0.038,0.026,0.021,,,
Thomas Edison State University,0,1,0,0,0.746999999999999,0.74952380952380904,0.79732000000000003,0.82366666666666599,0.003,0.048,0.026,,0.037,0.003,,,,,0.048,0.026,0.003,,
Troy University,0,0,0,0,0.65890476190476099,0.64732558139534802,0.62856756756756704,0.72390909090909095,-0.012,-0.019,0.095,,0.022,,,,,-0.012,-0.019,0.095,,,
Union College,0,0,-1,0,0.65501785714285699,0.66476744186046499,0.71295454545454495,0.74750000000000005,0.010,0.048,0.035,0.048,0.022,,,0.048,,0.010,,0.035,,,
University of Alaska Anchorage,0,0,0,0,0.70997894736842004,0.69733333333333303,0.68855999999999995,0.66164285714285698,-0.013,-0.009,-0.027,,-0.016,,,,,-0.013,-0.009,-0.027,,,
University of Central Arkansas,0,0,1,0,0.61345121951219495,0.66775675675675605,0.64929090909090903,0.62222222222222201,0.054,-0.018,-0.027,,0.014,-0.018,,,,0.054,,-0.027,,-0.018,
University of Kansas,0,0,0,0,0.64998888888888795,0.65125190839694602,0.61669047619047601,0.68260714285714197,0.001,-0.035,0.066,,0.011,,,,,0.001,-0.035,0.066,,,
University of Kentucky,0,0,0,0,0.64547500000000002,0.66011320754716996,0.620351351351351,0.61342222222222198,0.015,-0.040,-0.007,,-0.011,,,,,0.015,-0.040,-0.007,,,
University of Louisiana at Lafayette,0,0,0,1,0.64547682119205196,0.68092258064516098,0.71363529411764703,0.63533333333333297,0.035,0.033,-0.078,,0.034,-0.078,,,,0.035,0.033,,,,-0.078
University of Maine,0,0,0,1,0.66548571428571401,0.64520779220779201,0.73414285714285699,0.72043749999999995,-0.020,0.089,-0.014,,0.034,-0.014,,,,-0.020,0.089,,,,-0.014
University of Mount Union,0,0,0,1,0.66058823529411703,0.70388888888888801,0.64737500000000003,0.62180000000000002,0.043,-0.057,-0.026,,-0.007,-0.026,,,,0.043,-0.057,,,,-0.026
University of North Carolina at Greensboro,0,0,0,0,0.65333653846153805,0.65821641791044705,0.67803797468354399,0.60653333333333304,0.005,0.020,-0.072,,-0.016,,,,,0.005,0.020,-0.072,,,
University of North Carolina Wilmington,0,0,1,0,0.62127647058823499,0.62536585365853603,0.63605434782608605,0.61506060606060597,0.004,0.011,-0.021,,-0.008,0.011,,,,0.004,,-0.021,,0.011,
University of Portland,0,0,0,0,0.57849999999999902,0.64446666666666597,0.66754999999999998,0.57699999999999996,0.066,0.023,-0.091,,-0.000,,,,,0.066,0.023,-0.091,,,
University of San Diego,0,0,1,0,0.56067948717948701,0.64641333333333295,0.58667796610169398,0.70223076923076899,0.086,-0.060,0.116,,0.101,-0.060,,,,0.086,,0.116,,-0.060,
University of West Georgia,0,1,0,0,0.694721739130434,0.70431764705882305,0.70565217391304302,0.76776923076922998,0.010,0.001,0.062,,0.032,0.010,,,,,0.001,0.062,0.010,,
Virginia Commonwealth University,1,0,0,0,0.66118181818181798,0.65962765957446801,0.64362068965517205,0.68790322580645102,-0.002,-0.016,0.044,,0.009,,,,,-0.002,-0.016,0.044,,,
Walla Walla University,0,0,-1,0,0.50813333333333299,0.69668749999999902,0.64168749999999997,0.69683333333333297,0.189,-0.055,0.055,-0.055,0.122,,,-0.055,,0.189,,0.055,,,
Xavier University,0,0,0,1,0.65805555555555495,0.65553030303030302,0.67821212121212104,0.63300000000000001,-0.003,0.023,-0.045,,0.010,-0.045,,,,-0.003,0.023,,,,-0.045
All Universities Average,,,,,0.666,0.682,0.681,0.709,0.016,-0.001,0.025,0.035,0.014,0.004,,,,,,,,,
