Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Temple University,0,1,0,0,0.477,0.641,0.569,0.435,0.164,-0.072,-0.134,,-0.103,0.164,,,,,-0.072,-0.134,0.164,,
Texas Woman's University,0,0,0,0,0.415,0.627,0.479,0.413,0.212,-0.148,-0.066,,-0.001,,,,,0.212,-0.148,-0.066,,,
Thomas Edison State University,0,1,0,0,0.292,0.484,0.461,0.814,0.192,-0.023,0.352,,0.165,0.192,,,,,-0.023,0.352,0.192,,
Troy University,0,0,0,0,0.466,0.598,0.535,0.543,0.132,-0.063,0.009,,0.026,,,,,0.132,-0.063,0.009,,,
Union College,0,0,-1,0,0.362,0.553,0.423,0.418,0.191,-0.130,-0.005,-0.130,0.093,,,-0.130,,0.191,,-0.005,,,
University of Alaska Anchorage,0,0,0,0,0.381,0.401,0.319,0.288,0.019,-0.082,-0.031,,-0.031,,,,,0.019,-0.082,-0.031,,,
University of Central Arkansas,0,0,1,0,0.537,0.537,0.519,0.433,0.000,-0.019,-0.086,,-0.043,-0.019,,,,0.000,,-0.086,,-0.019,
University of Kansas,0,0,0,0,0.549,0.550,0.599,0.593,0.000,0.049,-0.005,,0.015,,,,,0.000,0.049,-0.005,,,
University of Kentucky,0,0,0,0,0.477,0.560,0.600,0.589,0.083,0.040,-0.011,,0.037,,,,,0.083,0.040,-0.011,,,
University of Louisiana at Lafayette,0,0,0,1,0.467,0.584,0.395,0.452,0.117,-0.189,0.057,,-0.036,0.057,,,,0.117,-0.189,,,,0.057
University of Maine,0,0,0,1,0.521,0.520,0.407,0.234,-0.001,-0.114,-0.172,,-0.057,-0.172,,,,-0.001,-0.114,,,,-0.172
University of Mount Union,0,0,0,1,0.554,0.515,0.479,0.821,-0.039,-0.036,0.342,,-0.038,0.342,,,,-0.039,-0.036,,,,0.342
University of North Carolina at Greensboro,0,0,0,0,0.552,0.534,0.510,0.307,-0.018,-0.024,-0.203,,-0.082,,,,,-0.018,-0.024,-0.203,,,
University of North Carolina Wilmington,0,0,1,0,0.579,0.621,0.667,0.385,0.042,0.046,-0.282,,-0.120,0.046,,,,0.042,,-0.282,,0.046,
University of Portland,0,0,0,0,0.683,0.654,0.729,0.511,-0.029,0.076,-0.219,,-0.057,,,,,-0.029,0.076,-0.219,,,
University of San Diego,0,0,1,0,0.687,0.659,0.626,0.586,-0.028,-0.033,-0.040,,-0.034,-0.033,,,,-0.028,,-0.040,,-0.033,
University of West Georgia,0,1,0,0,0.411,0.506,0.409,0.248,0.094,-0.097,-0.161,,-0.129,0.094,,,,,-0.097,-0.161,0.094,,
Virginia Commonwealth University,1,0,0,0,0.523,0.570,0.584,0.548,0.047,0.014,-0.036,,0.008,,,,,0.047,0.014,-0.036,,,
Walla Walla University,0,0,-1,0,0.834,0.512,0.629,0.291,-0.323,0.118,-0.339,0.118,-0.331,,,0.118,,-0.323,,-0.339,,,
Xavier University,0,0,0,1,0.571,0.656,0.545,0.251,0.085,-0.111,-0.294,,-0.013,-0.294,,,,0.085,-0.111,,,,-0.294
All Universities Average,,,,,0.474,0.511,0.467,0.382,0.039,-0.045,-0.086,-0.049,-0.052,-0.001,,,,,,,,,
