Name,2010,2015,2018,2020,2010-2014,2015-2017,2018-2020,2021 - Present,2010-2014 / 2015-2017,2015-2017 / 2018-2020,2018-2020 / 2021 - Present,Decrease,No Change,Increase,Decrease,,,No Change,,,Increase,,
Thomas Edison State University,0,1,0,0,0.049,0.061,0.047,0.000,0.012,-0.014,-0.047,,-0.030,0.012,,,,,-0.014,-0.047,0.012,,
Troy University,0,0,0,0,0.037,0.034,0.069,0.018,-0.004,0.036,-0.051,,-0.007,,,,,-0.004,0.036,-0.051,,,
Union College,0,0,-1,0,0.049,0.036,0.043,0.089,-0.013,0.007,0.046,0.007,0.017,,,0.007,,-0.013,,0.046,,,
University of Alaska Anchorage,0,0,0,0,0.073,0.072,0.092,0.153,-0.001,0.020,0.061,,0.027,,,,,-0.001,0.020,0.061,,,
University of Central Arkansas,0,0,1,0,0.046,0.057,0.044,0.059,0.010,-0.012,0.015,,0.012,-0.012,,,,0.010,,0.015,,-0.012,
University of Kansas,0,0,0,0,0.037,0.035,0.050,0.032,-0.002,0.015,-0.018,,-0.002,,,,,-0.002,0.015,-0.018,,,
University of Kentucky,0,0,0,0,0.060,0.036,0.046,0.038,-0.024,0.011,-0.008,,-0.007,,,,,-0.024,0.011,-0.008,,,
University of Louisiana at Lafayette,0,0,0,1,0.045,0.039,0.055,0.070,-0.006,0.016,0.015,,0.005,0.015,,,,-0.006,0.016,,,,0.015
University of Maine,0,0,0,1,0.042,0.054,0.067,0.097,0.012,0.012,0.030,,0.012,0.030,,,,0.012,0.012,,,,0.030
University of Mount Union,0,0,0,1,0.059,0.030,0.081,0.000,-0.029,0.051,-0.081,,0.011,-0.081,,,,-0.029,0.051,,,,-0.081
University of North Carolina at Greensboro,0,0,0,0,0.052,0.050,0.055,0.103,-0.002,0.005,0.048,,0.017,,,,,-0.002,0.005,0.048,,,
University of North Carolina Wilmington,0,0,1,0,0.039,0.039,0.037,0.063,0.000,-0.002,0.025,,0.013,-0.002,,,,0.000,,0.025,,-0.002,
University of Portland,0,0,0,0,0.024,0.034,0.033,0.039,0.010,-0.001,0.006,,0.005,,,,,0.010,-0.001,0.006,,,
University of San Diego,0,0,1,0,0.045,0.051,0.037,0.038,0.007,-0.015,0.002,,0.004,-0.015,,,,0.007,,0.002,,-0.015,
University of West Georgia,0,1,0,0,0.062,0.052,0.058,0.074,-0.010,0.005,0.016,,0.011,-0.010,,,,,0.005,0.016,-0.010,,
Virginia Commonwealth University,1,0,0,0,0.050,0.048,0.048,0.056,-0.002,-0.000,0.008,,0.002,,,,,-0.002,-0.000,0.008,,,
Walla Walla University,0,0,-1,0,0.016,0.050,0.024,0.060,0.034,-0.026,0.036,,-0.004,0.070,,-0.026,,0.034,,0.036,,,
Xavier University,0,0,0,1,0.038,0.039,0.030,0.100,0.001,-0.008,0.070,,,,,,,0.001,-0.008,,,,0.070
"All Universities, Average",,,,,0.057,0.053,0.062,0.069,-0.004,0.009,0.005,0.006,0.005,-0.003,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
